J       CT       CP       eta
0.000   0.1100   0.0750   0.100
0.101   0.1178   0.0749   0.159
0.131   0.1177   0.0738   0.209
0.153   0.1193   0.0714   0.256
0.181   0.1182   0.0712   0.301
0.208   0.1170   0.0713   0.342
0.240   0.1151   0.0713   0.388
0.265   0.1133   0.0712   0.422
0.294   0.1114   0.0713   0.459
0.322   0.1092   0.0713   0.492
0.349   0.1071   0.0714   0.523
0.375   0.1046   0.0712   0.551
0.399   0.1026   0.0711   0.576
0.430   0.0994   0.0708   0.604
0.452   0.0972   0.0705   0.624
0.479   0.0944   0.0703   0.644
0.506   0.0914   0.0699   0.661
0.532   0.0875   0.0692   0.672
0.561   0.0820   0.0669   0.687
0.586   0.0758   0.0643   0.691
0.617   0.0675   0.0599   0.695
0.642   0.0614   0.0563   0.699
0.671   0.0550   0.0525   0.704
0.700   0.0492   0.0488   0.706
0.730   0.0433   0.0452   0.699
0.754   0.0391   0.0427   0.689
0.779   0.0343   0.0401   0.667
0.812   0.0282   0.0363   0.630
0.835   0.0235   0.0337   0.583
0.864   0.0178   0.0302   0.509
0.888   0.0133   0.0273   0.433
0.917   0.0079   0.0235   0.310
0.948   0.0020   0.0193   0.100
0.974   -0.0035   0.0154   -0.224
